Nucleos,Ciclos,Tempo_ms,Speedup,Eficiencia_%,Context_Switches,CPU_Util_%
1,10000,3.05,1.00,100.00,0,0.00
2,10000,4.67,0.65,32.68,0,0.00
4,10000,9.04,0.34,8.44,0,0.00
8,10000,10.38,0.29,3.68,0,0.00
