Cores,Tempo_ms,Speedup,Eficiencia_%,CV_%
1,106.42,1.00,100.00,0.20
2,104.75,1.02,50.80,0.99
4,104.51,1.02,25.46,0.40
6,104.12,1.02,17.03,0.23
