timestamp_ms,main_memory_bytes,secondary_memory_bytes,cache_hits,cache_misses,hit_rate
2,135,0,27,1845,1.44231
3,135,0,27,1845,1.44231
3,135,0,27,1885,1.41213
3,135,0,27,1983,1.34328
3,135,0,27,2027,1.31451
3,135,0,27,2033,1.31068
3,135,0,30,2088,1.41643
3,135,0,30,2156,1.37237
4,135,0,31,2178,1.40335
4,135,0,32,2180,1.44665
4,135,0,33,2190,1.48448
4,135,0,33,2225,1.46147
4,135,0,33,2251,1.44483
4,135,0,34,2281,1.46868
4,135,0,35,2327,1.4818
4,135,0,36,2329,1.5222
4,135,0,36,2333,1.51963
4,135,0,36,2380,1.49007
4,135,0,36,2420,1.4658
4,135,0,36,2457,1.44404
4,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
5,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
6,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
7,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
8,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
9,135,0,36,2460,1.44231
