timestamp_ms,main_memory_bytes,secondary_memory_bytes,cache_hits,cache_misses,hit_rate
1,135,0,0,0,0
1,135,0,0,0,0
1,135,0,0,0,0
1,135,0,0,34,0
1,135,0,0,102,0
1,135,0,0,142,0
1,135,0,0,187,0
2,135,0,7,206,3.28638
2,135,0,9,214,4.03587
2,135,0,9,247,3.51562
2,135,0,9,324,2.7027
2,135,0,9,391,2.25
2,135,0,9,450,1.96078
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
2,135,0,9,480,1.84049
3,135,0,9,480,1.84049
3,135,0,9,480,1.84049
3,135,0,9,480,1.84049
3,135,0,9,480,1.84049
3,135,0,9,514,1.72084
3,135,0,9,554,1.59858
3,135,0,9,596,1.4876
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
3,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
4,135,0,9,615,1.44231
