timestamp_ms,main_memory_bytes,secondary_memory_bytes,cache_hits,cache_misses,hit_rate
2,135,0,9,615,1.44231
2,135,0,9,615,1.44231
2,135,0,9,624,1.4218
2,135,0,9,675,1.31579
2,135,0,9,742,1.1984
2,135,0,9,838,1.06257
3,135,0,9,885,1.00671
3,135,0,9,915,0.974026
3,135,0,9,967,0.922131
3,135,0,9,1018,0.876339
3,135,0,9,1066,0.837209
3,135,0,9,1066,0.837209
3,135,0,9,1067,0.836431
3,135,0,9,1068,0.835655
3,135,0,9,1069,0.834879
3,135,0,9,1073,0.831793
3,135,0,9,1074,0.831025
3,135,0,11,1075,1.01289
3,135,0,11,1076,1.01196
3,135,0,12,1078,1.10092
3,135,0,12,1079,1.09991
3,135,0,12,1080,1.0989
3,135,0,13,1081,1.1883
3,135,0,13,1083,1.18613
3,135,0,13,1084,1.18505
4,135,0,15,1087,1.36116
4,135,0,15,1088,1.35993
4,135,0,15,1089,1.3587
4,135,0,16,1091,1.44535
4,135,0,16,1093,1.44274
4,135,0,16,1094,1.44144
4,135,0,18,1099,1.61146
4,135,0,18,1101,1.60858
4,135,0,18,1102,1.60714
4,135,0,18,1105,1.60285
4,135,0,18,1125,1.5748
4,135,0,18,1145,1.54772
4,135,0,18,1163,1.52413
4,135,0,18,1183,1.49875
4,135,0,18,1203,1.4742
4,135,0,18,1222,1.45161
4,135,0,18,1230,1.44231
4,135,0,18,1230,1.44231
4,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
5,135,0,18,1230,1.44231
