timestamp_ms,main_memory_bytes,secondary_memory_bytes,cache_hits,cache_misses,hit_rate
2,135,0,36,2460,1.44231
2,135,0,36,2460,1.44231
2,135,0,36,2489,1.42574
2,135,0,36,2570,1.38143
2,135,0,36,2631,1.34983
2,135,0,36,2642,1.34429
2,135,0,36,2642,1.34429
3,135,0,36,2648,1.34128
3,135,0,38,2665,1.40585
3,135,0,38,2708,1.38383
3,135,0,39,2710,1.4187
3,135,0,40,2712,1.45349
3,135,0,40,2753,1.43215
3,135,0,42,2798,1.47887
4,135,0,43,2800,1.51249
4,135,0,43,2802,1.51142
4,135,0,43,2804,1.51036
4,135,0,44,2807,1.54332
4,135,0,44,2807,1.54332
4,135,0,45,2808,1.57729
4,135,0,45,2810,1.57618
4,135,0,45,2833,1.56359
4,135,0,45,2872,1.54268
4,135,0,45,2930,1.51261
4,135,0,45,2992,1.48173
4,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
5,135,0,45,3075,1.44231
